sim_number	current_loop	loop_tm_correlations
29	2	0.3692302377368856
30	2	0.3794237347427666
31	2	0.3537648514804077
32	2	0.38868660471603006
33	2	0.3629170115151848
34	2	0.3595262351498174
35	2	0.37691339231970633
36	2	0.36756075789630477
37	2	0.37347183017515634
38	2	0.36533339191348574
39	2	0.38592081514336296
40	2	0.3688400996173257
41	2	0.38455127505414577
42	2	0.3667392006963271
43	2	0.37416685266156297
44	2	0.380991998641446
45	2	0.3686463707306993
46	2	0.36948709388492
47	2	0.3686931539174595
48	2	0.3758344642218373
49	2	0.36943505314601394
0	3	0.7172859342195773
1	3	0.788258662669634
2	3	0.7319227113463793
3	3	0.7341910359811656
4	3	0.7507965939354768
5	3	0.7028834479022038
6	3	0.7430977924042514
7	3	0.7280294417276507
8	3	0.7220681017133286
9	3	0.692307763323085
10	3	0.7639328730473555
11	3	0.7388321284319987
12	3	0.745661198057104
13	3	0.7650593710281526
14	3	0.778350217170055
15	3	0.7377080978677221
16	3	0.7569150853678157
17	3	0.7433468056531922
18	3	0.7425513572120055
19	3	0.7100326399129766
20	3	0.7326385499580768
21	3	0.7314839884067025
22	3	0.7023788095078082
23	3	0.7173041786851404
24	3	0.7523275528317475
25	3	0.7489167603848915
26	3	0.7318386522908442
27	3	0.6857133577536655
28	3	0.7621616551927591
29	3	0.7300841020706486
30	3	0.7461654511527024
31	3	0.6792251337225192
32	3	0.7217234981346978
33	3	0.757266837676831
34	3	0.7029247102310735
35	3	0.675809820777187
36	3	0.6939863226996551
37	3	0.7193303142001695
38	3	0.7046471932282365
39	3	0.6977894279945823
40	3	0.7368313365900321
41	3	0.687522206472224
42	3	0.7588829890268098
43	3	0.7178221923615363
44	3	0.7290876556627209
45	3	0.7803303758904868
46	3	0.7233751803085483
47	3	0.717055398211311
48	3	0.7017715309794926
49	3	0.7591488327443441
0	4	0.7180709239797859
1	4	0.7651883602708911
2	4	0.7069090191909222
3	4	0.7275350642881475
4	4	0.7384715754173283
5	4	0.7043502272843716
6	4	0.7493698585167334
7	4	0.7420703646255681
8	4	0.6949355705883618
9	4	0.7458187018225328
10	4	0.7461576958566689
11	4	0.7465753034440655
12	4	0.6770477168938935
13	4	0.7682476601530102
14	4	0.7361651208379668
15	4	0.7592053873337199
16	4	0.7776337900673964
17	4	0.703725889327797
18	4	0.7216849746033513
19	4	0.7374421941384202
20	4	0.7411151090265643
21	4	0.7193989196672593
22	4	0.7544591788631135
23	4	0.7163374557191423
24	4	0.7584953079827779
25	4	0.7498498048873469
26	4	0.7351556082625507
27	4	0.7501386264090552
28	4	0.7487962516496606
29	4	0.7381846847384612
30	4	0.7338399777929119
31	4	0.7221336545865795
32	4	0.7560070983657644
33	4	0.7543044250672848
34	4	0.7197239873042162
35	4	0.736081629902516
36	4	0.738001479531884
37	4	0.7544841417510917
38	4	0.7221953901034832
39	4	0.7292930289368871
40	4	0.7245205230177725
41	4	0.7424074814879096
42	4	0.6645028016245048
43	4	0.7645128670584023
44	4	0.7505731117759732
45	4	0.7212157151812107
46	4	0.7535356635826851
47	4	0.741959984775455
48	4	0.7548106018363958
49	4	0.7206800573632481
0	5	0.6846244618604591
1	5	0.6690457222478999
2	5	0.6879977131381537
3	5	0.6708154415221991
